time                   Mass                   Q                   dMdt                dQdt                   fM                      hM                      delta_t               
2e-30                  1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     1e-30                 
4.1435888100000014e-30 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     2.1435888100000016e-30
8.320836979415658e-30  1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     4.177248169415656e-30 
1.727513941196805e-29  1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     8.954302432552392e-30 
3.4724541680854506e-29 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     1.7449402268886456e-29
7.212888512562816e-29  1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     3.7404343444773645e-29
1.450193688107315e-28  1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     7.289048368510335e-29 
3.0126659399360673e-28 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     1.5624722518287521e-28
6.057482335350265e-28  1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     3.0448163954141973e-28
1.2584316689064679e-27 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     6.526834353714413e-28 
2.5303270403015413e-27 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     1.2718953713950733e-27
5.2567477259148165e-27 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     2.726420685613275e-27 
1.0569770337763133e-26 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     5.3130226118483166e-27
2.1958706155798167e-26 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     1.1388935818035033e-26
4.4152520135205533e-26 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     2.219381397940737e-26 
9.172693143268478e-26  1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     4.7574411297479245e-26
1.8443600025051581e-25 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     9.270906881783103e-26 
3.8316612275393845e-25 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     1.9873012250342263e-25
7.7043491076145315e-25 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     3.872687880075147e-25 
1.6005799511966243e-24 1e+17                  0.3                 -1698733.44131611   0.0                    3.015325379519436e+111  0.0                     8.301450404351711e-25 
